date,value
2007-06-01,42.3
2007-07-01,48.7
2007-08-01,61.2
2007-09-01,58.9
2007-10-01,67.4
2007-11-01,72.1
2007-12-01,78.5
2008-01-01,85.3
2008-02-01,91.7
2008-03-01,96.2
2008-04-01,88.4
2008-05-01,79.6
2008-06-01,74.2
2008-07-01,81.9
2008-08-01,78.3
2008-09-01,112.6
2008-10-01,134.8
2008-11-01,128.4
2008-12-01,115.7
2009-01-01,108.3
2009-02-01,102.9
2009-03-01,97.6
2009-04-01,82.1
2009-05-01,71.4
2009-06-01,64.8
2019-06-01,38.2
2019-07-01,36.9
2019-08-01,47.6
2019-09-01,44.1
2019-10-01,41.3
2019-11-01,38.7
2019-12-01,36.2
2020-01-01,39.8
2020-02-01,52.4
2020-03-01,118.7
2020-04-01,104.3
2020-05-01,87.6
2020-06-01,72.1
2020-07-01,63.4
2020-08-01,58.9
2022-01-01,41.2
2022-02-01,49.8
2022-03-01,56.3
2022-04-01,62.7
2022-05-01,71.4
2022-06-01,78.9
2022-07-01,74.2
2022-08-01,68.5
2022-09-01,73.1
2022-10-01,79.6
2022-11-01,72.3
2022-12-01,65.8
